animal_id,ear_tag,species,breed,age_months,sex,owner_id,owner_name,village,block,district_id,district_name,state,vaccination_history,registered_at
AN-5E89BC9E,MH-PUN-69E119,cattle,Dangi,3,male,OWN-PUN-6836,Owner_463,indatarf15,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-11-14"", ""batch"": ""BATCH-8986"", ""administered_by"": ""VET-PUN-142""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-01-11"", ""batch"": ""BATCH-8575"", ""administered_by"": ""VET-PUN-177""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-03-03"", ""batch"": ""BATCH-9561"", ""administered_by"": ""VET-PUN-193""}]",2024-04-15
AN-BF29032E,MH-PUN-0055DE,poultry,BV380,19,female,OWN-PUN-4762,Owner_390,bhorkhurd47,Bhor,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-04-01"", ""batch"": ""BATCH-7071"", ""administered_by"": ""VET-PUN-379""}]",2024-05-10
AN-C2016239,MH-PUN-D6BF14,poultry,Cobb400,2,female,OWN-PUN-8247,Owner_298,mulsnagar43,Mulshi,PUNE,Pune,Maharashtra,[],2024-02-28
AN-7AB9DF24,MH-PUN-E5A698,cattle,HF Cross,25,female,OWN-PUN-7487,Owner_350,velhwadi19,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-06-21"", ""batch"": ""BATCH-6421"", ""administered_by"": ""VET-PUN-856""}]",2024-01-05
AN-CB7CA4CC,MH-PUN-7DB34E,cattle,Khillari,72,female,OWN-PUN-9264,Owner_17,mulsgaon42,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-02"", ""batch"": ""BATCH-4626"", ""administered_by"": ""VET-PUN-294""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-12-08"", ""batch"": ""BATCH-4674"", ""administered_by"": ""VET-PUN-526""}]",2024-02-25
AN-E0589CA8,MH-PUN-D5B28E,buffalo,Murrah,92,female,OWN-PUN-5958,Owner_100,ambepeth91,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-01-01"", ""batch"": ""BATCH-9851"", ""administered_by"": ""VET-PUN-388""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-05-08"", ""batch"": ""BATCH-8386"", ""administered_by"": ""VET-PUN-559""}]",2024-01-21
AN-EEA73DE3,MH-PUN-55E08C,buffalo,Murrah,59,female,OWN-PUN-2007,Owner_57,indawadi96,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-06-23"", ""batch"": ""BATCH-3779"", ""administered_by"": ""VET-PUN-665""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-04-28"", ""batch"": ""BATCH-4476"", ""administered_by"": ""VET-PUN-742""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-12-16"", ""batch"": ""BATCH-2516"", ""administered_by"": ""VET-PUN-559""}]",2024-06-27
AN-C2E857D3,MH-PUN-AD0413,poultry,Cobb400,20,female,OWN-PUN-8281,Owner_192,baragaon59,Baramati,PUNE,Pune,Maharashtra,[],2024-05-04
AN-B31851BE,MH-PUN-3A964C,sheep,Madgyal,10,male,OWN-PUN-6687,Owner_370,velhwadi98,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-10-03"", ""batch"": ""BATCH-7200"", ""administered_by"": ""VET-PUN-721""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-04-08"", ""batch"": ""BATCH-2206"", ""administered_by"": ""VET-PUN-599""}]",2024-05-07
AN-B5C98CA9,MH-PUN-EDEDA4,sheep,Lonand,95,female,OWN-PUN-5914,Owner_23,indawadi67,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-12-23"", ""batch"": ""BATCH-5849"", ""administered_by"": ""VET-PUN-990""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-03-24"", ""batch"": ""BATCH-6473"", ""administered_by"": ""VET-PUN-684""}]",2024-02-27
